path,usage_count,sample_files
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.engagement,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.videoViews,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.descBrandReach,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.chBlog,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.roleInfoTrust,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.pageViews,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.visitors,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.avgTime,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.searchTraffic,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.descInfoTrust,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.chCommunity,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.roleCustRel,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.postViews,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.comments,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.inquiries,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.newMembers,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.descCustRel,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.channelRoleDef,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.coreKpis,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.lblCtrFull,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.hintCtr,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.lblConvRate,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.hintConvRate,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.lblCpaFull,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.hintCpa,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.lblRoasFull,0,
pages.marketingIntel.marketingIntel.aiPredict.channelKpiPage.hintRoas,0,
